馬名,調教師,騎手,枠,馬,マイ印,α,β,Ω,Ω指数,血統,性齢,斤量,単勝,人気,馬体重,着順
フェスティヴビム,美畠山吉,草野太,5,8,…,△,注,注,87,リアルスティールマクシマール(アグネスタキオン),牡5,60.0,28.6,9,470(-8),6
フクチャンダイオウ,美加藤征,江田照,8,14,…,…,…,…,52,ロードカナロアスターシップトラッ(Ghostzapper),牡3,57.0,140.2,13,530(0),10
フルルネジュ,美武藤善,▲遠藤汰,5,10,…,☆,…,…,78,サンダースノーヴォーグショコラ(アイルハヴアナザー),牝3,52.0,220.4,16,420(0),10
ベストシン,美手塚貴,戸崎圭,6,9,…,▲,○,▲,97,レイデオロアユサン(ディープインパクト),牡3,55.0,2.3,1,464(-2),None
ホウオウユニコン,美奥村武,伴啓太,4,5,…,○,△,○,92,ゴールドシップホウオウサブリナ(ルーラーシップ),牡6,60.0,14.9,6,492(-4),8
ホロヨイマンゲツ,美深山雅,▲石神深,6,10,…,…,…,…,43,バゴスカイノーヴァ(ステイゴールド),牡3,54.0,255.7,15,498(+8),12
マイネルゲミュト,美清水英,▲石神深,6,11,…,▲,…,注,90,ウインブライトマイネエスポワール(アグネスデジタル),牡3,54.0,97.9,12,436(0),11
マイネルメサイア,美水野貴,上野翔,5,7,…,★,★,☆,84,ゴールドシップマイネソルシエール(ロージズインメイ),牡6,60.0,6.7,4,492(+2),1
マルベリシチ,美奥平雅,石神深,6,10,…,…,…,…,63,サトノアラジンベルミュール(キングカメハメハ),牡5,60.0,5.0,3,500(0),3
ミステンザン,美和田正,武藤雅,2,4,…,…,…,…,58,オルフェーヴルテンザンコノハナ(カリズマティック),牝3,55.0,130.4,13,460(+8),14
ミッドセンチュリ,美松山将,嶋田純,8,16,…,…,◎,◎,96,トゥザグローリーアウグスタ(エイシンフラッシュ),牡3,57.0,12.4,4,440(0),3
ミュジックマン,美大和田,横山琉,3,4,…,◎,…,○,93,ミッキーグローリーシルクシンフォニー(ストーミングホーム),牡3,57.0,4.4,1,468(-4),9
リプレイ,美戸田博,難波剛,4,6,…,…,…,…,65,ミッキーアイルヴェルナッツァ(Unbridled’s Song),牝4,58.0,76.7,12,436(+2),13
リンガスマイル,美西田雄,▲水沼元,1,1,…,…,…,…,45,ゴールデンマンデラリンガスビンゴ(シンボリクリスエス),牡3,54.0,239.9,14,506(+8),14
レガロカリノ,美菊沢隆,菊沢一,7,13,…,○,▲,○,95,レイデオロデアレガーロ(マンハッタンカフェ),牝3,55.0,15.3,5,390(-12),7
ロドオブキング,美中川公,戸崎圭,5,9,…,…,…,…,82,ビーチパトロールアカネバローロ(ネオユニヴァース),牡3,57.0,8.6,3,440(-2),4
ロンウルフ,美武市康,大江原,7,12,…,…,☆,…,82,リアルインパクトシェリレーヌ(Mineshaft),牡4,60.0,28.1,8,478(-4),4
ワカミヤイリオス,美矢野英,石橋脩,5,8,…,…,…,…,77,ルヴァンスレーヴプリンシアコメータ(スパイキュール),牡3,57.0,20.3,8,472(+10),8
ヴェルダリオ,美高木登,菅原明,1,2,…,△,注,★,86,ゴールドシップライムスカッシュ(キングカメハメハ),牡3,57.0,18.3,7,512(+2),13
地ウィズホプ,美奥平雅,▲遠藤汰,2,2,…,…,…,…,60,ゴールドシップシェイクラブハート(アグネスデジタル),牝4,53.0,138.8,11,438(+4),None
地カイコウ,美田島俊,五十嵐,7,11,…,▲,▲,△,91,スクリーンヒーロートウカイクルーク(エンパイアメーカー),セ4,60.0,3.7,1,460(-6),2
地カントゥタ,美佐藤吉,▲石神深,6,10,…,…,…,…,54,リアルスティールレディシャツィ(Privately Held),牝4,53.0,239.0,14,440(-4),None
地シンドバッド,美土田稔,▲土田真,6,9,…,注,…,★,85,ルーラーシップイルミナティ(メイショウサムソン),牡5,57.0,135.2,13,488(-12),10
地スノクロバ,美加藤和,▲水沼元,5,8,…,…,…,…,37,サンダースノーメイショウクローバ(メイショウサムソン),牡4,55.0,196.5,13,526(+8),None
地スノブリザド,栗畑端省,三浦皇,4,6,…,…,▲,注,95,ゴールドアクターオグリダイアン(キングヘイロー),牡4,58.0,10.6,5,490(+12),None
地セザンワルド,美蛯名利,小林脩,3,4,…,☆,注,★,94,トゥザワールドディアテイスティー(ジャングルポケット),セ5,58.0,99.5,10,482(-10),None
地モズクルドラゴン,美天間昭,▲井上敏,8,14,…,…,…,…,35,グランプリボスモズラコルタ(ヴィクトワールピサ),牡6,57.0,153.5,14,480(-4),12
外コレクテイニア,美戸田博,吉田豊,5,7,…,…,…,…,81,CollectedDance With Kitten(Kitten’s Joy),牡5,58.0,34.0,8,470(-6),None
外コンヴァジョン,美上原博,大野拓,8,15,…,☆,▲,△,88,CaravaggioWith Her Affection(Uncle Mo),牡3,57.0,8.8,5,448(-10),5
外スノバンティング,美高柳瑞,石川裕,2,3,…,…,…,…,31,TeofiloBlue Bunting(Dynaformer),牡3,57.0,72.6,10,426(---),12
外リドルトリガ,美小島茂,◇今村聖,4,7,…,…,…,…,62,American PharoahRubina(Invincible Spirit),牝3,53.0,28.0,10,472(-4),7
